"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","CORMARANCHE EN BUGEY","45.93048782606989,5.577490199533404","45.93048782606989","5.577490199533404"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","HAUTEVILLE LOMPNES","45.93048782606989,5.577490199533404","45.93048782606989","5.577490199533404"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","HOSTIAZ","45.93048782606989,5.577490199533404","45.93048782606989","5.577490199533404"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","THEZILLIEU","45.93048782606989,5.577490199533404","45.93048782606989","5.577490199533404"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","HOTONNES","46.043600037029066,5.684646121477474","46.043600037029066","5.684646121477474"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","LE GRAND ABERGEMENT","46.043600037029066,5.684646121477474","46.043600037029066","5.684646121477474"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","LE PETIT ABERGEMENT","46.043600037029066,5.684646121477474","46.043600037029066","5.684646121477474"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","RUFFIEU","46.043600037029066,5.684646121477474","46.043600037029066","5.684646121477474"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","SONGIEU","46.043600037029066,5.684646121477474","46.043600037029066","5.684646121477474"
"01188","ILLIAT","01140","ILLIAT",,"46.1838220138186,4.888411057955247","46.1838220138186","4.888411057955247"
"01189","INJOUX GENISSIAT","01200","INJOUX GENISSIAT",,"46.05054847331604,5.767772708647259","46.05054847331604","5.767772708647259"
"01189","INJOUX GENISSIAT","01200","INJOUX GENISSIAT","CRAZ","46.05054847331604,5.767772708647259","46.05054847331604","5.767772708647259"
"01190","INNIMOND","01680","INNIMOND",,"45.787494992513615,5.572316537430089","45.787494992513615","5.572316537430089"
"01191","IZENAVE","01430","IZENAVE",,"46.03802168272818,5.523412331639101","46.03802168272818","5.523412331639101"
"01192","IZERNORE","01580","IZERNORE",,"46.21599231601781,5.5609297031146365","46.21599231601781","5.5609297031146365"
"01193","IZIEU","01300","IZIEU",,"45.65554068107754,5.638646887654494","45.65554068107754","5.638646887654494"
"01194","JASSANS RIOTTIER","01480","JASSANS RIOTTIER",,"45.97708384582677,4.762580594669464","45.97708384582677","4.762580594669464"
"01195","JASSERON","01250","JASSERON",,"46.21761558771103,5.317014110160353","46.21761558771103","5.317014110160353"
"01196","JAYAT","01340","JAYAT",,"46.369826872752064,5.111713760520903","46.369826872752064","5.111713760520903"
"01197","JOURNANS","01250","JOURNANS",,"46.145450412870346,5.333323781917592","46.145450412870346","5.333323781917592"
"01198","JOYEUX","01800","JOYEUX",,"45.94600957898432,5.099834943063401","45.94600957898432","5.099834943063401"
"01199","JUJURIEUX","01640","JUJURIEUX",,"46.050295585119315,5.412170925920453","46.050295585119315","5.412170925920453"
"01200","LABALME","01450","LABALME",,"46.09148056008295,5.494466128193264","46.09148056008295","5.494466128193264"
"01202","LAGNIEU","01150","LAGNIEU",,"45.886314960788226,5.339569058721073","45.886314960788226","5.339569058721073"
"01203","LAIZ","01290","LAIZ",,"46.24615239126567,4.900588973913402","46.24615239126567","4.900588973913402"
"01204","LE POIZAT LALLEYRIAT","01130","LE POIZAT LALLEYRIAT","LALLEYRIAT","46.139155014854836,5.695531665183617","46.139155014854836","5.695531665183617"
"01204","LE POIZAT LALLEYRIAT","01130","LE POIZAT LALLEYRIAT","LE POIZAT","46.139155014854836,5.695531665183617","46.139155014854836","5.695531665183617"
"01206","LANTENAY","01430","LANTENAY",,"46.053089424247034,5.537944253254561","46.053089424247034","5.537944253254561"
